Año,ODS,Clave de metrópoli,Metrópoli,Índice,Ranking,Tipo de avance (flecha),Color del semáforo
2015,1,26.2.02,Ciudad Obregón,70.69976146,19,,Amarillo
2015,1,26.2.03,Hermosillo,87.69679992,2,,Verde claro
2015,1,26.2.04,Nogales,82.53010466,5,,Verde claro
2015,1,27.1.01,Villahermosa,60.78915607,37,,Verde claro
2015,1,28.1.01,Reynosa,57.64196371,41,,Amarillo
2015,1,28.1.02,Tampico,56.11619208,43,,Amarillo
2015,1,28.2.03,Ciudad Victoria,67.29288635,27,,Verde claro
2015,1,28.2.04,Matamoros,51.11680242,48,,Amarillo
2015,1,28.2.05,Nuevo Laredo,60.72934354,39,,Amarillo
2015,1,29.1.01,Tlaxcala-Apizaco,37.20313512,59,,Naranja
2015,1,29.3.02,Huamantla,12.01939229,78,,Naranja
2015,1,30.1.01,Coatzacoalcos,57.83995657,40,,Amarillo
2015,1,30.1.02,Córdoba,36.33954967,61,,Amarillo
2015,1,30.1.03,Minatitlán,32.98372878,64,,Naranja
2015,1,30.1.04,Orizaba,16.02768802,75,,Naranja
2015,1,30.1.05,Poza Rica,40.22928527,57,,Amarillo
2015,1,30.1.06,ZM de Veracruz,60.92893001,36,,Amarillo
2015,1,30.1.07,Xalapa,43.42994739,55,,Amarillo
2015,1,31.1.01,Mérida,72.62363134,15,,Verde claro
2015,1,31.3.02,Valladolid,14.20576903,77,,Naranja
2015,1,32.1.01,Zacatecas-Guadalupe,63.53049288,33,,Amarillo
2015,2,00.0.00,Promedio,69.94756988,,,Amarillo
2015,2,01.1.01,ZM de Aguascalientes,65.87882285,43,,Amarillo
2015,2,02.1.01,Tijuana,80.47941969,3,,Amarillo
2015,2,02.2.02,Ensenada,73.14999114,19,,Amarillo
2015,2,02.2.03,Mexicali,75.39172306,14,,Amarillo
2015,2,03.2.01,La Paz,69.11160041,31,,Amarillo
2015,2,03.2.02,Los Cabos,68.67214792,33,,Amarillo
2015,2,04.2.01,Campeche,65.73145,44,,Amarillo
2015,2,05.1.01,La Laguna,69.69354006,27,,Amarillo
2015,2,05.1.02,Monclova-Frontera,83.27751977,2,,Verde claro
2015,2,05.1.03,Piedras Negras,76.82851916,10,,Amarillo
2015,2,05.1.04,Saltillo,76.32039692,12,,Amarillo
2015,2,05.3.05,Sabinas,83.74864355,1,,Verde claro
2015,2,06.1.01,ZM de Colima-Villa de Álvarez,66.40873443,42,,Amarillo
2015,2,06.3.02,Tecomán,47.47823164,76,,Naranja
2015,2,07.1.01,Tapachula,57.22893396,56,,Amarillo
2015,2,07.1.02,Tuxtla Gutiérrez,61.51632527,52,,Amarillo
2015,2,08.1.01,ZM de Chihuahua,80.18637954,4,,Verde claro
2015,2,08.1.02,Delicias,78.25846098,6,,Verde claro
2015,2,08.2.03,Juárez,76.49271137,11,,Amarillo
2015,2,09.1.01,ZM de la Ciudad de México,78.23701211,7,,Amarillo
2015,2,10.2.01,Metrópoli de Durango,75.11555759,15,,Amarillo
2015,2,11.1.01,Celaya,64.71650855,48,,Amarillo
2015,2,11.1.02,León,55.00169584,61,,Naranja
2015,2,11.2.03,Metrópoli de Guanajuato,67.90688664,35,,Amarillo
2015,2,11.2.04,Irapuato,56.93148862,57,,Amarillo
2015,2,11.3.05,Moroleón-Uriangato,57.97620137,55,,Amarillo
2015,2,11.3.06,Silao,54.06401287,64,,Amarillo
2015,2,12.1.01,Chilpancingo,49.99720333,73,,Naranja
2015,2,12.2.02,Acapulco,32.83604503,80,,Rojo
2015,2,13.1.01,Pachuca,74.06130228,18,,Amarillo
2015,2,13.1.02,Tulancingo,67.13063781,40,,Amarillo
2015,2,14.1.01,Guadalajara,71.10199082,22,,Amarillo
2015,2,14.1.02,Puerto Vallarta,74.9505103,16,,Amarillo
2015,2,14.3.03,Ocotlán,71.5843071,21,,Amarillo
2015,2,15.1.01,Toluca,67.23536543,38,,Amarillo
2015,2,16.1.01,La Piedad-Pénjamo,52.46479205,70,,Naranja
2015,2,16.1.02,Morelia,59.42213433,53,,Naranja
2015,2,16.1.03,Zamora,49.90370544,74,,Naranja
2015,2,16.2.04,Uruapan,53.09937529,67,,Naranja
2015,2,16.3.05,Lázaro Cárdenas,56.17577342,59,,Naranja
2015,2,17.1.01,Cuautla,51.82327246,71,,Amarillo
2015,2,17.1.02,Cuernavaca,54.12442751,63,,Amarillo
2015,2,18.1.01,Tepic,70.85279804,23,,Amarillo
2015,2,19.1.01,Monterrey,78.0712752,8,,Amarillo
2015,2,20.1.01,ZM de Oaxaca,65.36573344,46,,Amarillo
2015,2,20.3.03,Salina Cruz,23.97543778,81,,Rojo
2015,2,21.1.01,ZM de Puebla-Tlaxcala,61.9546995,50,,Amarillo
2015,2,21.1.02,San Martín Texmelucan,64.50624318,49,,Amarillo
2015,2,21.1.03,Tehuacán,53.6141793,66,,Naranja
2015,2,21.3.04,Huauchinango,66.8058203,41,,Amarillo
2015,2,22.1.01,ZM de Querétaro,75.51961183,13,,Amarillo
2015,2,23.1.01,Cancún,70.0370347,24,,Amarillo
2015,2,23.2.02,Chetumal,61.72813047,51,,Amarillo
2015,2,23.2.03,Playa del Carmen,79.51699752,5,,Amarillo
2015,2,24.1.01,ZM de San Luis Potosí,78.04725789,9,,Verde claro
2015,2,24.3.03,Rioverde,69.03934365,32,,Amarillo
2015,2,25.2.01,Culiacán,69.83394065,25,,Amarillo
2015,2,25.2.02,Los Mochis,56.28567097,58,,Naranja
2015,2,25.2.03,Mazatlán,59.42110195,54,,Amarillo
2015,2,26.1.01,Guaymas,43.50659357,77,,Naranja
2015,2,26.2.02,Ciudad Obregón,52.66445385,69,,Naranja
2015,2,26.2.03,Hermosillo,69.13281858,30,,Amarillo
2015,2,26.2.04,Nogales,65.6741459,45,,Amarillo
2015,2,27.1.01,Villahermosa,47.98708582,75,,Naranja
2015,2,28.1.01,Reynosa,72.30336296,20,,Amarillo
2015,2,28.1.02,Tampico,65.1351721,47,,Amarillo
2015,2,28.2.03,Ciudad Victoria,69.72619868,26,,Amarillo
2015,2,28.2.04,Matamoros,69.38710486,29,,Amarillo
2015,2,28.2.05,Nuevo Laredo,67.72118805,36,,Amarillo
2015,2,29.1.01,Tlaxcala-Apizaco,67.45953669,37,,Amarillo
2015,2,29.3.02,Huamantla,53.97712551,65,,Amarillo
2015,2,30.1.01,Coatzacoalcos,55.33780602,60,,Naranja
2015,2,30.1.02,Córdoba,50.71313707,72,,Naranja
2015,2,30.1.03,Minatitlán,39.85425703,79,,Naranja
2015,2,30.1.04,Orizaba,54.86803127,62,,Amarillo
2015,2,30.1.05,Poza Rica,41.97025864,78,,Naranja
2015,2,30.1.06,ZM de Veracruz,53.01644852,68,,Amarillo
2015,2,30.1.07,Xalapa,67.18611613,39,,Amarillo
2015,2,31.1.01,Mérida,74.4055532,17,,Amarillo
2015,2,31.3.02,Valladolid,68.06795008,34,,Amarillo
2015,2,32.1.01,Zacatecas-Guadalupe,69.467172,28,,Amarillo
2015,3,00.0.00,Promedio,66.27822037,,,Amarillo
2015,3,01.1.01,ZM de Aguascalientes,68.52735436,19,,Amarillo
2015,3,02.1.01,Tijuana,62.73406523,48,,Naranja
